,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
351,Tautira,PF,-17.7333,-149.15,86.02,73,66,12.82,broken clouds
352,Belmonte,BR,-15.8631,-38.8828,79.3,86,17,4.03,few clouds
353,Kovdor,RU,67.5662,30.4758,16.77,90,100,5.59,overcast clouds
354,Passy,FR,45.9203,6.6877,35.08,43,0,8.59,clear sky
355,Vanderhoof,CA,54.0166,-124.0198,29.08,92,42,1.12,scattered clouds
356,Vardo,NO,70.3705,31.1107,30.78,77,100,29.46,overcast clouds
357,Tynda,RU,55.1667,124.7167,-15.02,87,98,3.27,overcast clouds
358,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,73.54,97,100,1.32,moderate rain
359,Juarez,MX,31.7333,-106.4833,66.97,17,0,8.05,clear sky
360,Bafq,IR,31.6128,55.4107,49.1,32,42,1.25,scattered clouds
361,Turayf,SA,31.6725,38.6637,35.85,93,0,6.91,clear sky
362,Awbari,LY,26.5921,12.7805,48.58,36,0,6.93,clear sky
363,Sao Joao Da Barra,BR,-21.6403,-41.0511,73.15,94,100,7.56,overcast clouds
364,Ambilobe,MG,-13.2,49.05,72.72,96,100,3.18,overcast clouds
365,Balikpapan,ID,-1.2675,116.8289,76.19,100,100,5.75,light rain
366,North Vernon,US,39.0062,-85.6236,44.49,87,100,10.71,light rain
367,Zhezkazgan,KZ,47.8043,67.7144,22.98,86,100,17.9,overcast clouds
368,Khani,GE,41.9563,42.9566,26.17,77,13,7.83,few clouds
369,Moranbah,AU,-22.0016,148.0466,86.58,40,0,9.06,clear sky
370,Haines Junction,CA,60.7522,-137.5108,28.35,74,100,3.44,overcast clouds
371,Mana,GF,5.6592,-53.7767,75.9,88,44,9.98,scattered clouds
372,Newport,GB,51.5877,-2.9984,44.76,81,99,13.62,overcast clouds
373,Nuevo Progreso,MX,23.1667,-97.95,68.59,81,41,4.5,scattered clouds
374,Takoradi,GH,4.8845,-1.7554,79.11,87,41,7.61,scattered clouds
375,Tilichiki,RU,60.4667,166.1,-12.41,84,3,9.42,clear sky
376,Pavlovsk,RU,50.4578,40.1081,31.33,88,100,5.64,overcast clouds
377,Kharabali,RU,47.4196,47.2568,39.99,88,100,15.3,overcast clouds
378,Kampot,KH,10.6167,104.1833,77.05,75,99,3.89,overcast clouds
379,Rafraf,TN,37.1904,10.1837,46.71,77,100,10.04,overcast clouds
380,Yanam,IN,16.7333,82.2167,68.4,86,93,3.02,overcast clouds
381,Suez,EG,29.9737,32.5263,51.6,71,0,6.67,clear sky
382,Lavrentiya,RU,65.5833,-171.0,-21.39,91,11,7.78,few clouds
383,Manokwari,ID,-0.8667,134.0833,81.91,70,97,1.03,overcast clouds
384,Akropong,GH,5.9746,-0.0854,77.95,76,80,5.53,broken clouds
385,Port-Gentil,GA,-0.7193,8.7815,80.46,81,99,11.25,overcast clouds
386,Karratha,AU,-20.7377,116.8463,89.49,56,6,6.91,clear sky
387,Nouadhibou,MR,20.931,-17.0347,69.78,56,68,9.22,broken clouds
388,Krasnyy Yar,RU,46.5331,48.3456,40.96,92,100,12.39,overcast clouds
389,Boundiali,CI,9.5217,-6.4869,70.34,16,5,3.78,clear sky
390,Puerto Escondido,MX,15.85,-97.0667,81.43,74,75,5.75,broken clouds
391,Tutoia,BR,-2.7619,-42.2744,84.18,84,100,10.4,overcast clouds
392,Price,US,39.5994,-110.8107,47.46,31,0,20.71,clear sky
393,Nagato,JP,34.3833,131.2,51.21,54,90,6.87,overcast clouds
394,Oranjestad,AW,12.524,-70.027,80.55,69,20,19.57,few clouds
395,Kabinda,CD,-6.1333,24.4833,66.25,94,100,3.09,overcast clouds
396,Sattahip,TH,12.6664,100.9007,83.64,100,75,3.44,light rain
397,Chowchilla,US,37.123,-120.2602,75.51,43,0,3.44,clear sky
398,Sisimiut,GL,66.9395,-53.6735,20.34,95,100,5.48,snow
399,Pirenopolis,BR,-15.8525,-48.9592,70.29,96,100,0.4,overcast clouds
400,Kahului,US,20.8947,-156.47,82.42,64,40,16.11,scattered clouds
401,Willmar,US,45.1219,-95.0433,3.22,71,0,23.02,clear sky
402,Urumqi,CN,43.801,87.6005,11.35,85,75,4.47,mist
403,Caravelas,BR,-17.7125,-39.2481,75.65,88,42,4.41,scattered clouds
404,Pitimbu,BR,-7.4706,-34.8086,82.99,79,29,10.94,scattered clouds
405,Renukut,IN,24.2,83.0333,49.98,51,1,4.79,clear sky
406,Lashio,MM,22.9333,97.75,51.12,65,0,1.05,clear sky
407,Vostok,RU,46.4856,135.8833,18.66,93,100,3.0,light snow
408,Amudat,UG,1.95,34.95,70.21,48,9,1.36,clear sky
409,Mount Isa,AU,-20.7333,139.5,96.57,26,0,8.05,clear sky
410,Basoko,CD,1.2391,23.616,74.3,64,91,1.86,overcast clouds
411,Bubaque,GW,11.2833,-15.8333,78.94,69,3,5.86,clear sky
412,Qurayyat,SA,31.3318,37.3428,39.38,81,0,9.22,clear sky
413,Council Bluffs,US,41.2619,-95.8608,23.72,56,0,26.46,clear sky
414,Hearst,CA,49.6835,-83.6665,-12.75,94,100,13.11,overcast clouds
415,Trojes,AL,41.756,19.962,36.09,73,99,4.81,overcast clouds
416,Vila Velha,BR,-20.3297,-40.2925,73.35,95,75,6.91,broken clouds
417,Heinola,FI,61.2056,26.0381,15.89,91,9,8.55,clear sky
418,Sioux Lookout,CA,50.1001,-91.917,-10.82,70,0,8.05,clear sky
419,Viedma,AR,-40.8135,-62.9967,62.11,26,0,7.76,clear sky
420,Seoul,KR,37.5683,126.9778,38.77,65,99,4.61,mist
421,Salalah,OM,17.0151,54.0924,71.69,68,20,3.44,few clouds
422,San Cristobal,VE,7.7669,-72.225,69.98,88,56,1.03,broken clouds
423,Cookeville,US,36.1628,-85.5016,60.51,39,100,8.05,overcast clouds
424,Pokaran,IN,26.9167,71.9167,59.36,27,0,4.81,clear sky
425,Caramay,PH,10.1815,119.236,80.28,84,49,9.91,scattered clouds
426,Almaznyy,RU,48.0448,40.045,37.54,94,100,10.25,overcast clouds
427,Nelson Bay,AU,-32.7167,152.15,78.1,59,83,5.01,broken clouds
428,Surt,LY,31.2089,16.5887,56.16,67,51,11.07,broken clouds
429,Balas,PH,15.0335,120.6059,82.85,61,100,11.23,overcast clouds
430,Nishihara,JP,26.1842,127.7558,70.88,76,100,13.8,overcast clouds
431,Tatui,BR,-23.3556,-47.8569,64.9,91,1,9.35,clear sky
432,Hovd,MN,48.0056,91.6419,-15.92,85,54,3.89,broken clouds
433,Shiloh,US,38.5614,-89.8973,47.12,79,20,5.75,few clouds
434,East Wenatchee,US,47.4157,-120.2931,51.85,48,0,5.01,clear sky
435,Isla Mujeres,MX,21.2311,-86.731,73.45,71,0,11.45,clear sky
436,Nambucca Heads,AU,-30.65,153.0,75.99,66,62,17.63,broken clouds
437,Zharkent,KZ,44.1628,80.0,27.14,55,100,0.76,overcast clouds
438,Gayny,RU,60.3071,54.3241,13.75,95,100,6.24,overcast clouds
439,Mardan,PK,34.2019,72.0525,46.94,32,0,2.28,clear sky
440,Ruteng,ID,-8.6136,120.4721,70.18,78,100,0.29,moderate rain
441,Douglas,US,41.3,-96.167,22.98,57,0,28.77,clear sky
442,Esso,RU,55.9333,158.7,7.99,82,0,3.29,clear sky
443,Dankov,RU,53.2515,39.1555,17.28,90,94,6.98,overcast clouds
444,High Level,CA,58.5169,-117.136,-0.29,71,40,5.75,scattered clouds
445,Seymchan,RU,62.8833,152.4333,-32.94,95,84,1.52,broken clouds
446,Tieling,CN,42.2931,123.8414,20.61,52,100,7.25,snow
447,Oranjemund,NA,-28.55,16.4333,67.12,75,100,3.51,overcast clouds
448,Aksarka,RU,66.5606,67.7975,-3.01,87,100,11.1,overcast clouds
449,Myingyan,MM,21.4667,95.3833,64.09,49,0,4.07,clear sky
450,Solnechnyy,RU,50.7214,136.6319,12.15,88,100,7.18,overcast clouds
451,Paris,FR,48.8534,2.3488,37.18,86,0,4.61,clear sky
452,Japura,ID,-0.3167,102.35,72.99,98,100,2.39,overcast clouds
453,Balapur,IN,20.6667,76.7667,59.63,34,11,5.37,few clouds
454,Zheleznodorozhnyy,RU,55.7503,38.0042,32.22,97,67,6.06,snow
455,Blagoyevo,RU,63.3667,47.9167,19.13,95,100,6.46,light snow
456,Necochea,AR,-38.5473,-58.7368,58.03,57,100,15.95,light rain
457,Davila,PH,18.4726,120.5763,80.58,65,66,2.01,broken clouds
458,Namibe,AO,-15.1961,12.1522,75.92,82,100,4.45,overcast clouds
459,Miguel Hidalgo,MX,19.4225,-99.2028,62.58,30,75,11.5,broken clouds
460,Yashkul,RU,46.1711,45.3435,38.59,82,42,15.17,scattered clouds
461,Miri,MY,4.4148,114.0089,78.94,89,20,5.75,few clouds
462,Kuching,MY,1.55,110.3333,77.22,94,40,2.3,scattered clouds
463,Ovalle,CL,-30.5983,-71.2003,72.25,59,0,3.47,clear sky
464,Charters Towers,AU,-20.1,146.2667,86.18,43,0,10.83,clear sky
465,Wagar,SD,16.1525,36.2032,66.67,76,0,15.01,clear sky
466,Sorong,ID,-0.8833,131.25,81.59,74,100,2.04,overcast clouds
467,Selaphum,TH,16.0299,103.9383,82.02,69,94,9.6,overcast clouds
468,Mmathubudukwane,BW,-24.6,26.4333,66.42,41,0,2.19,clear sky
469,Luangwa,ZM,-15.6167,30.4167,69.51,97,100,1.66,light rain
470,Amahai,ID,-3.3333,128.9167,84.58,67,99,1.01,overcast clouds
471,Yulara,AU,-25.2406,130.9889,85.84,23,0,16.11,clear sky
472,Uyuni,BO,-20.4597,-66.825,56.98,23,94,8.41,overcast clouds
473,Doha,QA,25.2867,51.5333,66.09,82,0,6.91,clear sky
474,Provideniya,RU,64.3833,-173.3,-12.39,88,4,8.55,clear sky
475,Radovitskiy,RU,55.1282,39.7956,18.3,96,16,5.86,snow
476,Miraflores,MX,19.2167,-98.8083,62.02,37,1,5.66,clear sky
477,Dalianwan,CN,39.0286,121.695,33.84,47,0,6.71,clear sky
478,Axim,GH,4.8699,-2.2405,78.24,88,74,6.33,broken clouds
479,Praia Da Vitoria,PT,38.7333,-27.0667,59.25,82,20,8.59,few clouds
480,Oussouye,SN,12.485,-16.5469,73.58,19,5,5.48,clear sky
481,Olinda,BR,-8.0089,-34.8553,83.93,79,75,4.61,broken clouds
482,Arbuzynka,UA,47.9097,31.3196,39.25,91,95,6.4,overcast clouds
483,Nalut,LY,30.3333,10.85,47.32,50,42,8.95,scattered clouds
484,Obregon,NI,11.9566,-85.9636,84.29,68,3,13.96,clear sky
485,Marsh Harbour,BS,26.5412,-77.0636,74.28,79,100,13.58,overcast clouds
486,Neiafu,TO,-18.65,-173.9833,86.68,79,40,9.22,scattered clouds
487,Ligayan,PH,4.6533,119.4706,80.73,77,98,1.97,overcast clouds
488,Inuvik,CA,68.3499,-133.7218,-21.14,76,40,3.44,scattered clouds
489,Balkanabat,TM,39.5108,54.3671,40.91,70,7,0.54,clear sky
490,Puerto Baquerizo Moreno,EC,-0.9,-89.6,74.86,88,96,7.29,overcast clouds
491,Krasnoarmeysk,RU,51.0239,45.6969,31.06,92,100,19.04,overcast clouds
492,Ayyampettai,IN,10.9014,79.1798,73.96,82,100,10.22,overcast clouds
493,Svetlaya,RU,46.5389,138.3297,25.65,91,100,6.98,light snow
494,Arlit,NE,18.7369,7.3853,63.01,19,0,6.89,clear sky
495,Placerville,US,38.7296,-120.7986,67.82,53,0,3.44,clear sky
496,Babstovo,RU,48.1167,132.4833,13.87,93,100,3.27,light snow
497,Naze,JP,28.3667,129.4833,61.72,65,74,9.98,broken clouds
498,Batagay-Alyta,RU,67.8006,130.4114,-21.73,88,63,5.17,broken clouds
499,Beauceville,CA,46.2179,-70.7787,41.79,65,100,5.75,overcast clouds
500,Garmsar,IR,35.2182,52.3409,45.46,74,95,7.43,overcast clouds
501,Harper,LR,4.375,-7.7169,78.39,87,5,4.92,clear sky
502,Kupang,ID,-10.1667,123.5833,81.36,80,100,2.48,overcast clouds
503,Nakhon Phanom,TH,17.3333,104.4167,75.0,67,82,8.95,broken clouds
504,Abalak,RU,58.1286,68.5944,-3.15,88,99,12.59,overcast clouds
505,Pingliang,CN,35.5392,106.6861,26.58,87,100,9.04,overcast clouds
506,Road Town,VG,18.4167,-64.6167,75.99,75,7,22.55,clear sky
507,Guerrero Negro,MX,27.9769,-114.0611,69.89,33,0,10.38,clear sky
508,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,10.99,57,0,2.24,clear sky
509,Port-Cartier,CA,50.0334,-66.8654,16.75,91,100,5.53,overcast clouds
510,Buala,SB,-8.145,159.5921,77.0,90,100,4.25,light rain
511,Mehamn,NO,71.0357,27.8492,26.73,64,80,14.58,broken clouds
512,Plaster Rock,CA,46.9065,-67.39,36.12,87,100,10.98,overcast clouds
513,Caledon East,CA,43.8691,-79.8669,35.46,97,100,13.06,light snow
514,Iracoubo,GF,5.4802,-53.2011,75.85,89,66,9.19,broken clouds
515,Mahanje,TZ,-9.9333,35.3333,64.33,98,100,1.54,light rain
516,Shizunai,JP,42.3339,142.3669,29.16,77,82,1.66,broken clouds
517,Kashi,CN,39.4547,75.9797,29.41,46,20,8.95,few clouds
518,Okhotsk,RU,59.3833,143.3,-5.57,77,33,9.35,scattered clouds
519,Lazaro Cardenas,MX,17.9583,-102.2,76.51,57,58,7.56,broken clouds
520,Ginowan,JP,26.2627,127.7615,70.41,78,100,13.8,overcast clouds
521,Magadan,RU,59.5667,150.8,3.6,68,96,2.64,overcast clouds
522,Rawson,AR,-43.3002,-65.1023,61.83,47,100,13.27,overcast clouds
523,Dubbo,AU,-32.25,148.6167,80.73,47,40,12.66,scattered clouds
524,Thinadhoo,MV,0.5333,72.9333,80.96,71,58,6.42,broken clouds
525,Boende,CD,-0.2167,20.8667,78.42,57,100,3.47,overcast clouds
526,Baiao,BR,-2.7906,-49.6717,72.88,97,100,2.3,light rain
527,Ojinaga,MX,29.5667,-104.4167,70.75,18,0,3.44,clear sky
528,Olafsvik,IS,64.8945,-23.7142,27.75,72,100,22.57,overcast clouds
529,Martapura,ID,-3.4167,114.85,75.29,94,40,8.05,scattered clouds
530,Alcudia,ES,39.8532,3.1214,48.38,79,25,10.0,scattered clouds
531,Ternate,ID,0.8,127.4,82.13,75,66,3.38,broken clouds
532,Edirne,TR,41.6772,26.556,39.83,90,3,1.63,clear sky
533,Tagusao,PH,9.1924,117.8141,81.43,75,33,4.68,scattered clouds
534,Brownwood,US,31.7093,-98.9912,69.12,37,0,3.44,clear sky
535,Camacha,PT,33.0833,-16.3333,60.22,77,40,13.8,scattered clouds
536,Batagay,RU,67.6333,134.6333,-27.27,97,55,3.22,broken clouds
537,General Pico,AR,-35.6566,-63.7568,54.88,85,4,5.64,clear sky
538,Kemijarvi,FI,66.7131,27.4306,1.38,97,14,3.74,few clouds
539,Oriximina,BR,-1.7656,-55.8661,75.07,94,92,2.26,overcast clouds
540,Kirakira,SB,-10.4544,161.9205,78.94,87,100,4.29,heavy intensity rain
541,Paraiso,CR,9.8383,-83.8656,68.86,90,71,4.21,broken clouds
542,Bobcaygeon,CA,44.5462,-78.542,34.88,98,100,10.16,light snow
543,Abu Kamal,SY,34.4506,40.9171,49.62,64,5,10.92,clear sky
544,Banda Aceh,ID,5.5577,95.3222,78.42,78,71,7.52,broken clouds
545,Clacton-On-Sea,GB,51.7897,1.156,40.78,87,54,5.99,broken clouds
546,Eureka,US,40.8021,-124.1637,65.68,72,100,1.01,overcast clouds
547,Agua Verde,MX,22.9,-106.05,69.89,54,0,7.45,clear sky
548,Kalmunai,LK,7.4167,81.8167,76.26,89,100,3.8,overcast clouds
549,Sao Felix Do Xingu,BR,-6.6447,-51.995,72.18,97,99,1.12,very heavy rain
550,Albuquerque,US,35.0845,-106.6511,56.68,28,20,11.01,few clouds
551,Excelsior Springs,US,39.3392,-94.2261,38.66,54,0,11.5,clear sky
552,Dunmore Town,BS,25.5,-76.65,75.38,81,36,7.02,scattered clouds
553,Mudgee,AU,-32.5943,149.5871,73.45,46,75,11.5,broken clouds
554,Pyay,MM,18.8167,95.2167,66.61,47,16,0.74,few clouds
555,Krasnyy Kholm,RU,58.0607,37.1203,25.14,92,100,11.05,overcast clouds
556,Sibolga,ID,1.7427,98.7792,75.18,85,100,4.14,overcast clouds
557,Belomorsk,RU,64.5232,34.7668,14.0,92,15,9.13,few clouds
558,Plettenberg Bay,ZA,-34.0527,23.3716,64.33,81,0,3.85,clear sky
559,Makakilo City,US,21.3469,-158.0858,80.35,57,0,12.66,clear sky
560,Tiebissou,CI,7.1574,-5.2257,78.89,36,33,2.84,scattered clouds
561,Dickinson,US,29.4608,-95.0513,65.19,80,0,3.44,clear sky
562,Sembe,CG,1.6481,14.5806,70.41,53,12,1.77,few clouds
563,Sola,VU,-13.8833,167.55,81.27,75,91,10.69,overcast clouds
564,Mindelo,CV,16.8901,-24.9804,72.95,64,100,27.63,overcast clouds
565,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,77.29,41,100,16.53,overcast clouds
566,Kyaukse,MM,21.6,96.1333,64.54,40,4,2.66,clear sky
567,Tuy Hoa,VN,13.0833,109.3,74.82,87,100,5.1,overcast clouds
568,Akyab,MM,20.15,92.9,65.01,67,5,10.47,clear sky
569,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,79.75,79,44,9.82,scattered clouds
570,Spas-Demensk,RU,54.4122,34.0226,27.0,96,100,5.57,overcast clouds
571,Nurobod,UZ,40.9056,69.8023,38.25,92,100,5.06,moderate rain
572,Rengasdengklok,ID,-6.1592,107.2981,85.12,76,100,5.19,overcast clouds
573,Marsa Matruh,EG,31.3525,27.2453,46.6,81,40,0.0,scattered clouds
574,Campbell River,CA,50.0163,-125.2446,41.72,93,75,2.3,broken clouds
575,Amboasary,MG,-25.0333,46.3833,73.27,94,6,5.48,clear sky
576,Vila Do Maio,CV,15.1333,-23.2167,74.19,75,100,15.17,overcast clouds
577,Dovolnoye,RU,54.4958,79.6671,-16.44,100,57,6.91,broken clouds
578,Wadi Musa,JO,30.3222,35.4793,38.57,81,1,5.64,clear sky
579,Nsunga,TZ,-1.1439,31.3947,62.46,93,100,1.48,overcast clouds
580,Calamar,CO,10.2511,-74.9146,80.55,68,42,8.57,scattered clouds
581,Itoman,JP,26.1247,127.6694,71.62,75,75,13.8,broken clouds
582,Camargo,MX,27.6667,-105.1667,58.6,12,0,1.86,clear sky
583,Sao Miguel Do Araguaia,BR,-13.275,-50.1628,71.19,95,76,3.04,broken clouds
584,Seaford,GB,50.7714,0.1027,45.7,81,100,14.36,overcast clouds
585,La Ronge,CA,55.1001,-105.2842,-7.35,71,100,3.44,overcast clouds
586,Viru,PE,-8.4167,-78.75,69.1,74,100,3.47,overcast clouds
587,Yuzhnyy,RU,53.2542,83.6936,-9.02,77,100,6.71,smoke
588,San Vicente,AR,-26.6167,-54.1333,75.52,51,78,3.8,broken clouds
589,Katete,UG,-0.7818,29.7544,63.9,63,100,2.91,overcast clouds
590,Foumban,CM,5.7291,10.9001,63.75,29,13,2.13,few clouds
591,Fairbanks,US,64.8378,-147.7164,9.82,74,0,3.44,clear sky
592,Rathdrum,US,47.8137,-116.892,46.89,62,0,6.91,clear sky
593,Harwich,GB,51.9419,1.2844,41.0,86,69,8.99,broken clouds
594,Zhigansk,RU,66.7697,123.3711,-30.91,100,100,5.97,overcast clouds
595,Dandong,CN,40.1292,124.3947,29.39,39,14,8.72,few clouds
596,Coahuayana,MX,18.7333,-103.6833,81.88,54,5,2.98,clear sky
597,Carlyle,US,38.6103,-89.3726,44.01,85,42,5.01,scattered clouds
598,Nisia Floresta,BR,-6.0911,-35.2086,82.78,83,100,5.7,light rain
599,Alice Springs,AU,-23.7,133.8833,81.95,28,0,16.11,clear sky
600,Porto Novo,BJ,6.4965,2.6036,82.22,90,0,6.26,clear sky
601,Labuhan,ID,-6.8844,112.2051,77.43,87,100,6.42,overcast clouds
602,Puerto Leguizamo,CO,-0.1934,-74.7819,77.7,80,100,2.17,moderate rain
603,Abha,SA,18.2164,42.5053,51.62,87,0,0.0,clear sky
604,Salinas,US,36.6777,-121.6555,76.01,43,0,12.66,clear sky
605,Diamantino,BR,-14.4086,-56.4461,72.52,93,100,4.59,heavy intensity rain
606,Wewak,PG,-3.5534,143.6268,79.07,85,100,2.33,moderate rain
607,Kolpashevo,RU,58.3131,82.9089,-14.87,99,35,5.7,scattered clouds
608,Amazar,RU,53.858,120.875,-9.71,83,87,3.67,overcast clouds
609,Nara,JP,34.6851,135.8049,43.92,52,94,2.53,overcast clouds
610,Hambantota,LK,6.1241,81.1185,76.39,88,100,11.1,overcast clouds
611,Eyrarbakki,IS,63.863,-21.1481,30.25,67,100,16.24,overcast clouds
612,Berlevag,NO,70.8578,29.0864,30.27,67,100,19.84,overcast clouds
613,Acari,PE,-15.4311,-74.6158,73.83,73,8,3.67,clear sky
614,Charlestown,AU,-32.95,151.6667,77.83,64,73,7.0,broken clouds
615,Ovsyanka,RU,55.9575,92.5519,-20.78,100,66,0.98,broken clouds
616,Yaan,NG,7.3833,8.5667,77.88,13,1,3.22,clear sky
617,Buzmeyin,TM,38.0507,58.2056,38.93,100,100,4.61,overcast clouds
618,Hiji,JP,33.3667,131.5333,48.09,62,100,2.73,overcast clouds
619,Kyabe,TD,9.4515,18.9449,75.33,15,2,5.23,clear sky
620,Piacabucu,BR,-10.4056,-36.4344,80.71,79,72,12.73,broken clouds
621,Yar-Sale,RU,66.8333,70.8333,-1.14,82,100,16.4,overcast clouds
622,Bria,CF,6.5423,21.9863,68.65,27,81,2.46,broken clouds
623,Buloh Kasap,MY,2.5536,102.764,76.91,94,100,2.51,overcast clouds
624,Marshalltown,US,42.0494,-92.908,17.83,67,75,31.07,broken clouds
625,Tigil,RU,57.8,158.6667,-3.24,94,37,2.39,scattered clouds
626,Myitkyina,MM,25.3833,97.4,57.04,76,70,3.04,broken clouds
627,Prince Rupert,CA,54.3161,-130.3201,39.29,70,0,3.44,clear sky
628,Nador,MA,35.174,-2.9287,52.05,87,75,1.14,broken clouds
629,Binzhou,CN,37.3667,118.0167,46.27,67,100,2.75,overcast clouds
630,Bathsheba,BB,13.2167,-59.5167,77.61,57,20,20.71,few clouds
631,Kismayo,SO,-0.3582,42.5454,76.3,80,100,15.5,overcast clouds
632,Yerbogachen,RU,61.2767,108.0108,-9.58,100,100,2.42,overcast clouds
633,Bahia Honda,CU,22.9036,-83.1592,72.27,86,79,7.92,broken clouds
634,Jumla,NP,29.2747,82.1838,19.29,65,0,8.93,clear sky
635,Brewster,US,41.3973,-73.6171,48.24,63,0,6.91,clear sky
636,Juneau,US,58.3019,-134.4197,37.4,95,100,17.27,light rain
637,Ajdabiya,LY,30.7554,20.2263,51.93,61,0,4.61,clear sky
638,Elko,US,41.0002,-115.5012,50.02,51,100,4.47,overcast clouds
639,Nawada,IN,24.8833,85.5333,48.49,62,0,6.08,clear sky
640,Bealanana,MG,-14.55,48.7333,62.94,98,3,1.95,clear sky
641,Salaya,IN,22.3167,69.6,66.74,45,0,8.43,clear sky
642,Grand-Santi,GF,4.25,-54.3833,71.89,99,69,3.18,broken clouds
643,Manta,EC,-0.95,-80.7333,78.58,73,20,6.91,few clouds
644,Auki,SB,-8.7676,160.7034,79.47,87,100,7.61,overcast clouds
645,Black Diamond,US,47.3087,-122.0032,48.9,82,50,1.01,scattered clouds
646,Murray Bridge,AU,-35.1167,139.2667,81.32,30,0,5.14,clear sky
647,Brzeg,PL,50.8608,17.4674,36.7,93,99,13.22,overcast clouds
648,Tual,ID,-5.6667,132.75,82.29,69,84,1.01,broken clouds
649,Gewane,ET,10.1664,40.6453,72.09,51,63,4.34,broken clouds
650,Bardiyah,LY,31.7561,25.0865,53.11,68,0,6.26,clear sky
651,Sambava,MG,-14.2667,50.1667,74.55,91,15,5.7,few clouds
652,Pozo Colorado,PY,-23.4923,-58.7972,81.21,47,38,5.93,scattered clouds
653,San Andres,CO,12.5847,-81.7006,80.62,74,20,10.36,few clouds
654,Lagos,NG,6.5833,3.75,80.92,96,2,1.32,clear sky
655,Huilong,CN,31.8111,121.655,48.04,72,94,10.56,overcast clouds
656,Mitchell,US,43.7094,-98.0298,12.18,62,0,20.71,clear sky
657,Mazamari,PE,-11.3258,-74.5308,70.63,95,100,1.88,overcast clouds
658,Raahe,FI,64.6833,24.4833,14.09,96,60,10.04,broken clouds
659,Ranot,TH,7.7777,100.3213,80.87,75,100,6.71,overcast clouds
660,Belyy Yar,RU,53.6039,91.3903,-27.51,57,92,0.0,smoke
661,Sherwood,US,34.8151,-92.2243,62.35,52,100,7.0,overcast clouds
662,Mount Gambier,AU,-37.8333,140.7667,73.8,38,2,6.22,clear sky
663,Dali,CN,25.7,100.1833,40.98,79,0,2.51,clear sky
664,Kangavar,IR,34.5043,47.9653,35.08,100,100,1.16,snow
665,Dunedin,NZ,-45.8742,170.5036,62.8,58,100,3.0,overcast clouds
666,Mwense,ZM,-10.3845,28.698,64.8,95,100,3.33,overcast clouds
667,Bridgetown,BB,13.1,-59.6167,77.49,57,20,20.71,few clouds
668,Hopfgarten,DE,50.9833,11.2667,33.44,80,5,3.69,clear sky
669,Bantogon,PH,6.5333,124.0333,81.59,71,100,2.89,overcast clouds
670,Zhanaozen,KZ,43.3,52.8,36.19,73,100,4.52,overcast clouds
